Chapter,Number of Duas,Arabic,Transliteration,Translation,Reference
Chapter 72: To one who intends to give food or drink,1 du'a,اللّهُـمَّ أَطْعِمْ مَن أَطْعَمَني وَاسْقِ مَن سقاني,Allāhumma aṭ`im man aṭ`amanīwasqi man saqānī.,"O Allah, feed the one who has fed me, and give drink to the one who has given me drink.",Reference:Muslim 3/126.Hisnul Muslim 183
Chapter 73: When breaking fast in someone’s home,1 du'a,أَفْطَـرَ عِنْدَكُم الصّـائِمونَ وَأَكَلَ طَعامَـكُمُ الأبْـرار وَصَلَّـتْ عَلَـيْكُمُ الملائِكَـة,Afṭara `indakumuṣ-ṣā'imūn. wa akala ṭa`āmakumu ‘l-'abrār. wa ṣallat `alaykumu ‘l-malā'ikah.,"With you, those who are fasting have broken their fast, you have fed those who are righteous, and the angels recite their prayers upon you.","Reference:Abu Dawud 3/367, Ibn Majah 1/556, An-Nasa'i, 'Amalul-Yawm wal-Laylah 296-8. Al-Albani graded it authentic in Sahih Abu Dawud 2/730.Hisnul Muslim 184"
Chapter 74: By one fasting when presented with food and does not break his fast,recommendation,(إِذَا دُعِيَ أَحَدُكُمْ فَلْيُجِبْ فَإِنْ كَانَ صَائِماً فَلْيُصَلِّ وَإِنْ كَانَ مُفْطِراً فَلْيَطْعَمْ) وَمَعْنَى فَلْيُصَلِّ أَيْ فَلْيَدْعُ.,,,Reference:Muslim 2/1054.Hisnul Muslim 185
Chapter 75: When insulted while fasting,1 du'a,إِنِّي صَائِمٌ إِنِّي صَائِمٌ,Innī ṣā'im. innī ṣā'im.,I am fasting. I am fasting.,"Reference:Al-Bukhari, cf. Al-Asqalani, Fathul-BAri 4/103, Muslim 2/806.Hisnul Muslim 186"
Chapter 76: Upon seeing the early or premature fruit,1 du'a,اللّهُـمَّ بارِكْ لَنا في ثَمَـرِنا وَبارِكْ لَنا في مَدينَتِنـا وَبارِكْ لَنا في صاعِنـا وَبارِكْ لَنا في مُدِّنا,Allahumma bārik lanā fī thamarinā. wa bārik lanā fī madīnatināwa bārik lanā fī ṣā`inā. wa bārik lanā fī muddinā.,"O Allah, bless us in our dates and bless us in our town, bless us in our Sa' and in our Mudd.","Reference:Muslim 2/1000 (Sa' and Mudd are both dry measures used for agricultural produce by the Arabs in the Prophet's time. Of the two, the So.' was the larger measure.) (Translator)Hisnul Muslim 187"
Chapter 77: Upon sneezing,1 du'a,إِذَا عَطَسَ أَحَدُكُم فَلْيَقُلِ  (الْحَمْدُ لِلَّهِ) وَلْيَقُلْ لَهُ أَخُوهُ أَوْ صَاحِبُهُ:  (يَرْحَمُكَ اللَّهُ) فَإِذَا قَالَ لَهُ: (يَرحَمُكَ اللَّهُ) فَلْيَقُلْ:  (يَهْدِيكُمُ اللَّهُ وَيُصْلِحُ بَالَكُمْ),"When you sneeze, say: AlḥamdulillāhYour companion should say: YarḥamukallāhWhen someone says Yarḥamukallāh to you then you should say: Yahdīkumu ‘llāhu wa yuṣliḥu bālakum.","When you sneeze, then say: All praises and thanks are to Allah. Your companion should say: May Allah have mercy upon you. When someone says Yarḥamukallāh to you then you should say: May Allah guide you and set your affairs in order.",Reference:Al-Bukhari 7/125.Hisnul Muslim 188
Chapter 78: When a disbeliever praises Allah after sneezing,1 du'a,يَهْـديكُـمُ اللهُ وَيُصْـلِحُ بالَـكُم,Yahdīkumullāhu wa yuṣliḥu bālakum.,May Allah guide you and set your affairs in order,"Reference:At-Tirmidhi 5/82, Ahmad 4/400, Abu Dawud 4/ 308. See also Al-Albani, Sahih At-Tirmidhi 2/354.Hisnul Muslim 189"
Chapter 79: To the newlywed,1 du'a,بارَكَ اللّهُ لَك وَبارَكَ عَلَـيْك وَجَمَعَ بَيْـنَكُما في خَـيْر,Bārakallāhu lak. wa bāraka `alayk. wa jama`a baynakumā fī khayr.,"May Allah bless you, and shower His blessings upon you, and join you together in goodness.","Reference:Abu Dawud, Ibn Majah and At-Tirmidhi. See also Al-Albani, Sahih At-Tirmidhi 1/316.Hisnul Muslim 190"
Chapter 80: On the wedding night or when buying an animal,1 du'a,إِذَا تَزَوَّجَ أَحَدُكُمُ امْرَأَةً أَوْ إِذَا اشْتَرَى خَادِماً فَلْيَقُلْ:  (اللَّهُمَّ إِنِّي أَسْأَلُكَ خَيْرَهَا وَخَيْرَ مَا جَبَلْتَهَا عَلَيْهِ وَأَعُوذُ بِكَ مِنْ شَرِّهَا وَشَرِّ مَا جَبَلْتَهَا عَلَيْهِ)وَإِذَا اشْتَرَى بَعِيراً فَلْيَأْخُذْ بِذِرْوَةِ سَنَامِهِ وَلْيَقُلْ مِثْلَ ذَلِكَ.,Allāhumma innī as'aluka khayrahāwa khayra mā jabaltahā `alayh. wa a`ūdhu bika min sharrihāwa sharri mā jabaltahā `alayh.,"When any of you marries a woman or purchases a maid-servant then let him say: O Allah, I ask You for the goodness of her, and the goodness upon which You have created her, and I seek refuge in You from the evil of her, and from the evil upon which You have created her. If you purchase a camel then take hold of the top of its hump and say the same.","Reference:Abu Dawud 2/248 and Ibn Majah 1/617. See also Al-Albani, Sahih Ibn Majah 1/324.Hisnul Muslim 191"
Chapter 81: Before sexual intercourse with the wife,1 du'a,بِسْمِ الله اللّهُـمَّ جَنِّبْنا الشَّيْـطانَ وَجَنِّبِ الشَّـيْطانَ ما رَزَقْـتَنا,Bismillāh. Allāhumma jannibnash-Shayṭān. wa jannibish-Shayṭāna mā razaqtanā.,"With the Name of Allah. O Allah, keep the Devil away from us, and keep the Devil away from that which You provide for us.","Reference:Al-Bukhari 6/141, Muslim 2/1028.Hisnul Muslim 192"
Chapter 82: When angry,1 du'a,أَعـوذُ بِاللهِ مِنَ الشَّيْـطانِ الرَّجيـم,A`ūdhu billāhi minash-Shayṭānir-rajīm.,I seek refuge in Allah from Satan the outcast.,"Reference:Al-Bukhari 7/99, Muslim 4/2015.Hisnul Muslim 193"
Chapter 83: Upon seeing someone in trial or tribulation,1 du'a,الْحَمْـدُ للهِ الّذي عافاني مِمّا ابْتَـلاكَ بِهِ وَفَضَّلَـني عَلى كَثيـرٍ مِمَّنْ خَلَـقَ تَفْضـيلا,Alhamdu lillāhi ‘l-ladhī `āfānī mimmab-talāka bihiwa faḍḍalanī `alā kathīrin mimman khalaqa tafḍīlā.,"Praise is to Allah Who has spared me what He has afflicted you with, and preferred me greatly above much of what He has created.","Reference:At-Tirmidhi 5/493,4. See also Al-Albani, Sahih At-Tirmidhi 3/153.Hisnul Muslim 194"
Chapter 84: At a sitting or gathering,1 du'a,عن ابن عمر قال : كان يعد لرسول الله صلى الله عليه وسلم في المجلس الواحد مائة مرة من قبل أن يقوم 'رب اغفر لي وتب علي إنك أنت التواب الغفور,Rabbigh’fir līwa tub `alayyinnaka antat-Tawwābu ‘l-Ghafūr.,"Ibn Umar (ra) said: Allah's Messenger (ﷺ) used to repeat in a single sitting: My Lord, forgive me, and accept my repentance, You are the Ever-Relenting, the All-Forgiving.","Reference:Sahih Ibn Majah 2/321. See also Al-Albani, Sahih At-Tirmidhi 3/153.Hisnul Muslim 195"
"Chapter 85: For the expiation of sins, said at the conclusion of a sitting or gathering",1 du'a,سُبْحـانَكَ اللّهُـمَّ وَبِحَمدِك أَشْهَـدُ أَنْ لا إِلهَ إِلاّ أَنْتَ أَسْتَغْفِرُكَ وَأَتوبُ إِلَـيْك,Subhānaka Allāhumma wa biḥamdik. ash-hadu an lā ilāha illā ant. astaghfiruka wa atību ilayk.,"Glory is to You, O Allah, and praise is to You. I bear witness that there is none worthy of worship but You. I seek Your forgiveness and repent to You.","Reference:Abu Dawud, Ibn Majah, At-Tirmidhi and An-Nasa'i. See also Al-Albani, Sahih At-Tirmidhi 3/ 153. Aishah (RA) said: ""Allah's Messenger (ﷺ) did not sit in a gathering, and did not recite the Qur'an, and did not perform any prayer without concluding by saying ... (then she quoted the above)."" This was reported by An-Nasa'i in 'Amalul-Yawm wal-Laylah (no.308), and Dr. Farooq Hamadah graded it authentic in his checking of the same book, p. 273. See also Ahmad 6/77Hisnul Muslim 196"
Chapter 86: Returning a supplication of forgiveness,1 du'a,وَلَكَ,Walaka,And you.,"Reference:Ahmad 5/82, and An-Nasa'i in 'Amalul-Yawm wal-Laylah p. 218, with checking by Dr. Farooq Hamadah.Hisnul Muslim 197"
Chapter 87: To one who does you a favour,1 du'a,جَزاكَ اللهُ خَـيْراً,Jazākallāhu khayra.,May Allah reward you with good.,"Reference:At-Tirmidhi (no. 2035). See also Al-Albani, Sahih At-Tirmidhi 2/200 and Sahihul-Jami' (no. 6244).Hisnul Muslim 198"
Chapter 88: Protection from the Dajjal,recommendation,.(مَنْ حَفِظَ عَشْرَ آيَاتٍ مِنْ أَوَّلِ سُورَةِ الْكَهْفِ عُصِمَ مِنَ الدَّجَّالِ) وَالْاسْتِعَاذَةُ بِاللَّهِ مِنْ فِتْنَتِهِ عَقِبَ التَّشَهُّدِ الْأَخِيرِ مِنْ كُلِّ صَلاَةٍ.,,,"Reference:1 Muslim 1/555, another version mentions the last ten 'Ayat, Muslim 1/556. 2 See invocations no. 55 and 56 of this book.Hisnul Muslim 199"
"Chapter 89: To one who pronounces his love for you, for Allah’s sake",1 du'a,أَحَبَّـكَ الّذي أَحْبَبْـتَني لَه,Aḥabbaka ‘lladhī aḥbabtanī lah.,"May He for Whose sake you love me, love you.",Reference:Abu Dawud 4/333. Al-Albani graded it good in Sahih Abu Dawud 3/965.Hisnul Muslim 200
Chapter 90: To one who has offered you some of his wealth,1 du'a,بارَكَ اللهُ لَكَ في أَهْلِكَ وَمالِك,Bārakallāhu laka fī ahlika wa mālik.,May Allah bless you in your family and your property.,"Reference:Al-Bukhari, cf. Al-Asqalani, Fathul-BAri 4/88.Hisnul Muslim 201"
Chapter 91: To the debtor when his debt is settled,1 du'a,بارَكَ اللهُ لَكَ في أَهْلِكَ وَمالِك إِنَّما جَـزاءُ السَّلَفِ الْحَمْدُ والأَداء,Bārakallāhu laka fī ahlika wa mālik. innamā jazā'us-salafi ‘l-ḥamdu wa‘l-adā'.,"May Allah bless you in your family and your wealth, surely the reward for a loan is praise and returning (what was borrowed).","Reference:An-Nasa'i, 'Amalul-Yawm wal-Laylahp. 300, Ibn Majah 2/809. See also Al-Albani, Sahih Ibn Majah2/55.Hisnul Muslim 202"
Chapter 92: For fear of shirk,1 du'a,اللّهُـمَّ إِنّـي أَعـوذُبِكَ أَنْ أُشْـرِكَ بِكَ وَأَنا أَعْـلَمْ وَأَسْتَـغْفِرُكَ لِما لا أَعْـلَم,Allāhumma innī a`ūdhu bika an ushrika bika wa anā a`lam. wa astaghfiruka limā lā a`lam.,"O Allah, I seek refuge in You lest I associate anything with You knowingly, and I seek Your forgiveness for what I know not.","Reference:Ahmad 4/403. See also Al-Albani, Sahihul-Jami' As-Saghir 3/233 and Sahihut-Targhib wat- Tarhib 1/19.Hisnul Muslim 203"
"Chapter 93: To someone who says ""May Allah bless you""",1 du'a,وَفيكَ بارَكَ الله,Wafīka bārakallāh.,And may Allah bless you.,"Reference:Ibn As-Sunni, p. 138, (no. 278). See also Ibn Al-Qayyim, Al-Wdbil As-Sayyib, p. 304, with checking by Basheer Muhammad ?Uyoon.Hisnul Muslim 204"
Chapter 94: The scorn of ascribing things to evil omens,1 du'a,اللّهُـمَّ لا طَيْـرَ إِلاّ طَيْـرُك وَلا خَـيْرَ إِلاّ خَـيْرُك وَلا إِلهَ غَيْـرُك,Allāhumma lā ṭayra illā ṭayruk. wa lā khayra illā khayruk. wa lā ilāha ghayruk.,"O Allah there is no portent other than Your portent, no goodness other than Your goodness, and none worthy of worship other than You.","Reference:Ahmad 2/220, Ibn As-Sunni (no. 292). See also Al-Albani, Silsilatul-'Ahadlth As-Sahihah 3/54, (no. 1065). As for bodings of good, these used to please the Prophet (ﷺ) and so when he heard good words from someone, he used to say: ""We have taken from you a good portent from your mouth,"" Abu Dawud, Ahmad. See also Al-Albani, Silsilatul-'Ahadith As-Sahihah 2/363, and it is with Abu Ash-Shaikh Al-Asfahani in 'Akhlaqun-Nabiyy, pg. 270.Hisnul Muslim 205"
Chapter 95: When mounting an animal or any means of transport,1 du'a,بِسْـمِ اللهِ وَالْحَمْـدُ لله ﴿سُبْحَانَ الَّذِي سَخَّرَ لَنَا هَذَا وَمَا كُنَّا لَهُ مُقْرِنِينَ * وَإِنَّا إِلَى رَبِّنَا لَمُنقَلِبُونَ﴾ الحَمْـدُ لله الحَمْـدُ لله الحَمْـدُ لله اللهُ أكْـبَر اللهُ أكْـبَر اللهُ أكْـبَر سُـبْحانَكَ اللّهُـمَّ إِنّي ظَلَـمْتُ نَفْسي فَاغْـفِرْ لي فَإِنَّهُ لا يَغْفِـرُ الذُّنوبَ إِلاّ أَنْـت,"Bismillāh. walḥamdulillāh. Subḥāna ‘lladhī sakhkhara lanā hādhāwa mā kunnā lahu muqrinīn. Wa innā ilā Rabbinā lamunqalibūn. Alḥamdulillāh, alḥamdulillāh, alḥamdulillāh. Allāhu Akbar, Allāhu Akbar, Allāhu Akbar. Subḥānaka ‘llāhumma innī ẓalamtu nafsī. faghfir lī. fa innahu lā yaghfirudh-dhunūba illā ant.","With the Name of Allah. Praise is to Allah. Glory is to Him Who has provided this for us though we could never have had it by our efforts. Surely, unto our Lord, we are returning. Praise is to Allah. Praise is to Allah. Praise is to Allah. Allah is the Most Great. Allah is the Most Great. Allah is the Most Great. Glory is to You. O Allah, I have wronged my own soul. Forgive me, for surely none forgives sins but You.","Reference:Abu Dawud 3/34, At-Tirmidhi 5/501. See also Al-Albani, Sahih At-Tirmidhi3/156.Hisnul Muslim 206"
Chapter 96: For travel,1 du'a,'اللَّهُ أَكْبَرُ اللَّهُ أَكْبَرُ اللَّهُ أَكْبَرُ ﴿سُبْحَانَ الَّذِي سَخَّرَ لَنَا هَذَا وَمَا كُنَّا لَهُ مُقْرِنِينَ * وَإِنَّا إِلَى رَبِّنَا لَمُنقَلِبُونَ﴾ اللَّهُمَّ إِنّا نَسْأَلُكَ فِي سَفَرِنَا هَذَا البِرَّ وَالتَّقْوَى وَمِنَ الْعَمَلِ مَا تَرْضَى اللَّهُمَّ هَوِّنْ عَلَيْنَا سَفَرَنَا هَذَا وَاطْوِ عَنَّا بُعْدَهُ اللَّهُمَّ أَنْتَ الصَّاحِبُ فِي السَّفَرِ وَالْخَليفَةُ فِي الْأَهْلِ اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنْ وَعْثَاءِ السَّفَرِ وَكَآبَةِ الْمَنْظَرِ وَسُوءِ الْمُنْقَلَبِ فِي الْمَالِ وَالْأَهْلِ' وإذا رَجَعَ قَالَهُنَّ وَزَادَ فِيهِنَّ: 'آيِبُونَ تائِبُونَ عَابِدُونَ لِرَبِّنَا حَامِدُونَ',"Allāhu Akbar, Allāhu Akbar, Allāhu Akbar. Subḥāna ‘l-ladhi sakhkhara lanā hādhā wa mā kunnā lahu muqrinīn. Wa innā ilā Rabbinā lamunqalibūn. Allāhumma innā nas'aluka fī safarinā hādha ‘l-birra wat-taqwā. Wa mina ‘l-`amali mā tarḍā. Allāhumma hawwin `alaynā safaranā hādhā waṭwi `annā bu`dah. Allāhumma antas-sāḥibu fis-safar. wa ‘l-khalīfatu fil-ahl. Allāhumma innī a`ūdhu bika min wa`thā'is-safar.  wa ka'ābati ‘l-manẓar. wa sū'il-munqalabi fil-māli wa ‘l-ahl.(Upon returning recite the same again adding)Ā’ibūna, tā'ibūna, `ābidūn. Li Rabbinā ḥāmidūn.","Allah is the Most Great. Allah is the Most Great. Allah is the Most Great. Glory is to Him Who has provided this for us though we could never have had it by our efforts. Surely, unto our Lord we are returning. O Allah, we ask You on this our journey for goodness and piety, and for works that are pleasing to You. O Allah, lighten this journey for us and make its distance easy for us. O Allah, You are our Companion on the road and the One in Whose care we leave our family. O Allah, I seek refuge in You from this journey's hardships, and from the wicked sights in store and from finding our family and property in misfortune upon returning. (Upon returning recite the same again adding) We return repentant to our Lord, worshipping our Lord, and praising our Lord.",Reference:Muslim 2/978.Hisnul Muslim 207
Chapter 97: Upon entering a town or village,1 du'a,أللّـهُمَّ رَبَّ السَّـمواتِ السّـبْعِ وَما أَظْلَلَـن وَرَبَّ الأَراضيـنَ السّـبْعِ وَما أقْلَلْـن وَرَبَّ الشَّيـاطينِ وَما أَضْلَلْـن وَرَبَّ الرِّياحِ وَما ذَرَيْـن أَسْـأَلُـكَ خَيْـرَ هذهِ الْقَـرْيَةِ وَخَيْـرَ أَهْلِـها وَخَيْـرَ ما فيها وَأَعـوذُ بِكَ مِنْ شَـرِّها وَشَـرِّ أَهْلِـها وَشَـرِّ ما فيها,Allāhumma Rabbas-samāwātis-sab`i wa mā aẓlaln. Wa Rabba ‘l-arāḍīnas-sab`i wa mā aqlaln. wa Rabbash-shayāṭīni wa mā aḍlaln. wa Rabbar-riyāḥi wa mā dharayn. As'aluka khayra hādhihi ‘l-qaryah. wa khayra ahlihā. wa khayra māfīhā. wa a`ūdhu bika min sharrihā. wa sharri ahlihā. wa sharri mā fīhā.,"O Allah, Lord of the seven heavens and all they overshadow, Lord of the seven worlds and all they uphold, Lord of the devils and all they lead astray, Lord of the winds and all they scatter. I ask You for the goodness of this town, and for the goodness of its people, and for the goodness it contains. I seek refuge in You from its evil, from the evil of its people, and from the evil it contains.","Reference:Al-Hakim who graded it authentic and Ath-Tfaahabi agreed 2/100, and Ibn As-Sunni (no. 524). Al-Hafidh graded it good in his checking of Al-'Athkdr 5/154. Ibn Baz said in Tuhfatul-'Akhydr p. 37, that An-Nasa'i recorded it with a good chain of narration.Hisnul Muslim 208"
Chapter 98: When entering the market,1 du'a,لا إلهَ إلاّ اللّه وحدَهُ لا شريكَ لهُ لهُ المُلْـكُ ولهُ الحَمْـد يُحْيـي وَيُميـتُ وَهُوَ حَيٌّ لا يَمـوت بِيَـدِهِ الْخَـيْرُ وَهوَ على كلّ شيءٍ قدير,Lā ilāha illallāhwaḥdahu lā sharīka lah. Lahu ‘l-mulku wa lahu ‘l-ḥamd. Yuḥyī wa yumīt. wa huwa ḥayyun lā yamūt. Biyadihi ‘l-khayr. wa huwa `alā kulli shay'in Qadīr.,"None has the right to be worshipped but Allah alone, Who has no partner. His is the dominion and His is the praise. He brings life and He causes death, and He is living and does not die. In His Hand is all good, and He is Able to do all things.","Reference:At-Tirmidhi 5/291, and Al-Hakim 1/538. Al-Albani graded it good in Sahih Ibn Majah 2/21 and Sahih At-Tirmidhi 3/152.Hisnul Muslim 209"
Chapter 99: When the mounted animal (or mean of transport) stumbles,1 du'a,بِسْـمِ اللهِ,Bismillāh.,With the Name of Allah.,Reference:Abu Dawud 4/296. Al-Albani graded it authentic in Sahih Abu Dawud 3/941.Hisnul Muslim 210
Chapter 100: Supplication of the traveller for the resident,1 du'a,أَسْتَـوْدِعُكُـمُ اللَّهَ الَّذي لا تَضـيعُ وَدائِعُـه,Astawdi`ukumu ‘llāha ‘l-ladhi lā taḍī`u wadā'i`uh.,"I place you in the trust of Allah, whose trust is never misplaced.","Reference:Ahmad 2/403, Ibn Majah 2/943. See also Al-Albani, Sahih Ibn Majah 2/133.Hisnul Muslim 211"
Chapter 101: Supplication of the resident for the traveller,2 du'as,أَسْتَـوْدِعُ اللَّهَ ديـنَكَ وَأَمانَتَـكَ وَخَـواتيـمَ عَمَـلِك,Astawdi`ullāha dīnak. wa amānatak. wa khawātīma `amalik.,"I leave your religion in the care of Allah, as well as your safety, and the last of your deeds.","Reference:Ahmad 2/7, At-Tirmidhi 5/499. See also Al-Albani, Sahih At-Tirmidhi 2/155.Hisnul Muslim 212"
Uncategorized,N/A,زَوَّدَكَ اللَّهُ التقْوى وَغَفَـرَذَنْـبَكَ وَيَسَّـرَ لَكَ الخَـيْرَ حَيْـثُما كُنْـت,Zawwadaka ‘llāhut-taqwā. wa ghafara dhanbak. wa yassara laka ‘l-khayra ḥaythu mā kunt.,"May Allah give you piety as your provision, forgive your sins, and make goodness easy for you wherever you are.","Reference:At-Tirmidhi. See Al-Albani, Sahih At-Tirmidhi, 3/155.Hisnul Muslim 213"
Chapter 102: Takbir and Tasbih during travel,recommendation,قَالَ جَابِرٌ رضي الله عنه: (كُنَّا إِذَا صَعَدْنَا كَبَّرْنَا وَإِذَا نَزَلْنَا سَبَّحْنَا),,,"Reference:Al-Bukhari, cf. Al-Asqalani, Fathul-Bari 6/135.Hisnul Muslim 214"
Chapter 103: Prayer of the traveller as dawn approaches,1 du'a,سَمِـعَ سـامِعٌ بِحَمْـدِ اللهِ وَحُسْـنِ بَلائِـهِ عَلَيْـنا. رَبَّنـا صـاحِبْـنا وَأَفْـضِل عَلَيْـنا عائِذاً باللهِ مِنَ النّـار,"Sami`a sāmi`un biḥamdillāhi wa ḥusni balā'ihi `alaynā. Rabbanā ṣāḥibnā, wa afḍil `alaynā,`ā'idhan billāhi minan-nār.","He Who listens has heard that we praise Allah for the good things He gives us. Our Lord, be with us and bestow Your favor upon us. I seek the protection of Allah from the Fire.","Reference:Muslim 4/2086, the meaning of sami`a sāmi`un (who listens has heard) is that 'a witness has witnessed our praise of Allah due to His blessings and favor upon us.' It could also be read samma`a sāmi`un, in which case it means 'one who has heard this statement of mine will convey it to another and he will say it as well.' This is due to the attention given to the Thikr (remembrance of Allah) and supplications made during the early morning hours. The meaning of his saying 'Our Lord, be with us and bestow Your favor upon us' is: 'Our Lord, protect us and guard us. Bless us with Your numerous bounties, and avert from us every evil.' See An-Nawawi, Sharh Sahih Muslim 17/39.Hisnul Muslim 215"
Chapter 104: Stopping or lodging somewhere in travel and otherwise,1 du'a,أَعـوذُ بِكَلِـماتِ اللّهِ التّـامّاتِ مِنْ شَـرِّ ما خَلَـق,A`ūdhu bikalimāti ‘llāhit-tāmmāti min sharri mā khalaq.,I seek refuge in the Perfect Words of Allah from the evil of what He has created.,Reference:Muslim 4/2080.Hisnul Muslim 216
Chapter 105: While returning from travel,1 du'a,يُكَبِّرُ عَلَى كُلِّ شَرَفٍ ثَلاَثَ تَكْبِيرَاتٍ ثُمَّ يَقُولُ: لاَ إِلَهَ إِلاَّ اللَّهُ وَحْدَهُ لاَ شَرِيكَ لَهُ لَهُ الْمُلْكُ وَلَهُ الْحَمْدُ وَهُوَ عَلَى كُلِّ شَيْءٍ قَدِيرٌ آيِبُونَ تَائِبُونَ عَابِدُونَ لِرَبِّنا حَامِدُونَ صَدَقَ اللَّهُ وَعْدَهُ وَنَصَرَ عَبْدَهُ وَهَزَمَ الْأَحْزابَ وَحْدَهُ,"Lā ilāha illallāh waḥdahu lā sharīka lah. lahu ‘l-mulku, walahu ‘l-ḥamd. wa Huwa `alā kulli shay'in Qadīr, ā'ibūna, tā'ibūna,`ābidūn, li Rabbinā ḥāmidūn, sadaqallāhu wa`dah, wa nasara `abdah. wa hazama ‘l-'aḥzāba waḥdah.","From every elevated point say Allāhu Akbar (Allah is the Most Great) three times and then recite: None has the right to be worshipped but Allah alone, Who has no partner. His is the dominion and His is the praise, and He is Able to do all things. We return repentant to our Lord, worshipping our Lord, and praising our Lord. He fulfilled His Promise, He aided His slave, and He alone defeated the Confederates.","Reference:Bukhari 7/163, Muslim 2/980. The Prophet (ﷺ) used to say this when returning from a campaign or from Hajj.Hisnul Muslim 217"
Chapter 106: What to say upon receiving pleasing or displeasing news,1 du'a,كَانَ النَّبِيُّ صلى الله عليه وسلم إِذَا أَتَاهُ الْأَمْرُ يَسُرُّهُ قَالَ:  (الْحَمْدُ لِلَّهِ الَّذِي بِنِعْمَتِهِ تَتِمُّ الصَّالِحَاتُ) وَإِذَا أَتَاهُ الْأَمْرُ يَكْرَهُهُ قَالَ:  (الْحَمْدُ لِلَّهِ عَلَى كُلِّ حَالٍ),Alḥamdu lillāhi ‘lladhi bi ni`matihi tatimmuṣ-ṣāliḥāt. Alḥamdu lillāhi `alā kulli ḥāl.,"When something happened that pleased him, the Prophet (ﷺ) used to say: Praise is to Allah Who by His blessings all good things are perfected. And if something happened that displeased him, he used to say: Praise is to Allah in all circumstances.","Reference:Ibn As-Sunni, 'Amalul-Yawm wal-Laylah, and Al-Hakim who graded it authentic 1/499. See also Al-Albani, Sahihul-Jami' As-Saghir 4/201.Hisnul Muslim 218"
Chapter 107: Excellence of sending prayers upon the Prophet (saws),recommendation,قَالَ النَّبِيُّ صلى الله عليه وسلم: (مَنْ صَلَّى عَلَيَّ صَلاَةً صَلَّى اللَّهُ عَلَيْهِ بِهَا عَشْراً),,,Reference:Muslim 1/288.Hisnul Muslim 219
Uncategorized,recommendation,وَقَالَ صلى الله عليه وسلم: (لاَ تَجْعَلُوا قَبْرِي عِيداً وَصَلُّوا عَلَيَّ فَإِنَّ صَلاَتَكُم تَبْلُغُنِي حَيْثُ كُنْتُمْ),,,"Reference:Abu Dawud 2/218, Ahmad 2/367. Al-Albani graded it authentic in Sahih Abu Dawud 2/383.Hisnul Muslim 220"
Uncategorized,recommendation,وَقَالَ صلى الله عليه وسلم: (الْبَخِيلُ مَنْ ذُكِرْتُ عِنْدَهُ فَلَمْ يُصَلِّ عَلَيَّ),,,"Reference:At-Tirmidhi 5/551 and others. See also Al-Albani, Sahih At-Tirmidhi 3/177 and Sahihul-Jarai' As-Saghir 3/25.Hisnul Muslim 221"
Uncategorized,recommendation,وَقَالَ صلى الله عليه وسلم:(إِنَّ لِلَّهِ مَلاَئِكَةً سَيَّاحِينَ فِي الْأَرْضِ يُبَلِّغُونِي مِنْ أُمَّتِي السَّلاَمَ),,,"Reference:An-Nasa'i, Al-Hakim 2/421. Al-Albani graded it authentic in Sahih An-Nasa'i 1/274.Hisnul Muslim 222"
Uncategorized,recommendation,وَقَالَ صلى الله عليه وسلم: (مَا مِنْ أَحَدٍ يُسَلِّمُ عَلَيَّ إِلاَّ رَدَّ اللَّهُ عَلَيَّ رُوحِيَ حَتَّى أَرُدَّ عَلَيْهِ السَّلاَمَ),,,Reference:Abu Dawud (no. 2041). Al-Albani graded it good in Sahih Abu Dawud 1/383.Hisnul Muslim 223
Chapter 108: Excellence of spreading the Islamic greeting,recommendation,قَالَ رَسُولُ اللَّهِ صلى الله عليه وسلم: (لاَ تَدْخُلُوا الْجَنَّةَ حَتَّى تُؤْمِنُوا وَلاَ تُؤْمِنُوا حَتَّى تَحَابُّوا أَوَلاَ أَدُلُّكُم عَلَى شَيْءٍ إِذَا فَعَلْتُمُوهُ تَحَابَبْتُم أَفْشُوا السَّلاَمَ بَيْنَكُمْ),,,Reference:Muslim 1/74 and others.Hisnul Muslim 224
Uncategorized,recommendation,ثَلاَثٌ مَنْ جَمَعَهُنَّ فَقَدْ جَمَعَ الْإِيمَانَ: الْإِنْصَافُ مِنْ نَفْسِكَ وَبَذْلُ السَّلاَمِ لِلْعَالَمِ وَالْإِنْفَاقُ مِنَ الإِقْتَارِ,,,"Reference:Al-Bukhari, cf. Al-Asqalani, Fathul-Bari 1/82 as a statement of the Companion 'Ammar (RA).Hisnul Muslim 225"
Uncategorized,recommendation,وَعَنْ عَبْدِ اللَّهِ بْنِ عُمَرَ رَضِيَ اللَّهُ عَنْهُمَا: أنَّ رَجُلاً سَأَلَ النَّبِيَّ صلى الله عليه وسلم أيُّ الْإِسْلاَمِ خَيْرٌ قَالَ: (تُطْعِمُ الطَّعَامَ وَتَقْرأُ السَّلاَمَ عَلَى مَنْ عَرَفْتَ وَمَنْ لَمْ تَعْرِفْ),,,"Reference:Al-Bukhari, cf. Al-Asqalani, Fathul-Bari 1/55, Muslim 1/65.Hisnul Muslim 226"
